Supplementary Table 1. Differentially methylated genes in mutant IDH-expressing human astrocytes;;;;;;;;;;;;
Probeset ID;Symbol;Normalized fold change (mut/wt);Delta-beta (P40 mut vs P40 wt);Chromosome;Mapinfo;Accession;UCSC Refgene group;Relation to UCSC CpG island;Q value;;;
cg01634141;F13A1;-5,361;-0,1465765;6;6,32E+06;NM_000129;TSS200;Island;0,0488201;;;
cg01635878;NMU;7,68757;0,159021;4;5,65E+07;NM_006681;TSS1500;S_Shore;0,0367943;;;
cg01636354;AMOTL2;9,20291;0,168375;3;1,34E+08;NM_016201;Body;N_Shore;0,0449561;;;
cg01636413;;-2,38962;-0,0704065;13;2,53E+07;;;Island;0,0408631;;;
cg01636910;BCL10;4,36199;0,093132;1;8,57E+07;NM_003921;Body;N_Shore;0,0434533;;;
cg01637011;KIF21B;2,23894;0,087247;1;2,01E+08;NM_017596;TSS200;S_Shore;0,0487034;;;
cg01637244;OXSM;4,16375;0,1067255;3;2,58E+07;"NR_026937;NM_017897;NM_001145391";"Body;Body;Body";;0,0498067;;;
cg01637404;;5,41778;0,1216025;16;8,63E+07;;;S_Shore;0,0414029;;;
cg01638311;PACS1;5,41371;0,0960865;11;6,59E+07;NM_018026;Body;;0,0382745;;;
cg01638792;MYEOV;6,47001;0,1043305;11;6,91E+07;NM_138768;TSS1500;;0,0382745;;;
cg01639943;VWF;6,25014;0,137284;12;6,15E+06;NM_000552;Body;;0,0453906;;;
cg01640635;KDELR3;-3,04127;-0,0525965;22;3,89E+07;"NM_016657;NM_006855";"Body;Body";S_Shore;0,0382745;;;
cg01640945;;-3,12941;-0,1232085;7;1,51E+08;;;;0,0465414;;;
cg01641432;MYH15;3,9708;0,1186215;3;1,08E+08;NM_014981;Body;;0,0382745;;;
cg01641930;PSMD9;2,25712;0,0393305;12;1,22E+08;NM_002813;TSS1500;N_Shore;0,0474784;;;
cg01642653;BDNF;3,99566;0,1258315;11;2,77E+07;"NM_170732;NM_001143805;NM_170731;NM_170731;NM_001143806";"TSS1500;TSS1500;1stExon;5'UTR;TSS1500";Island;0,038622;;;
cg01642824;PAPL;5,27702;0,1621485;19;3,96E+07;NM_001004318;TSS1500;N_Shore;0,0430641;;;
cg01643605;;-7,55101;-0,07666205;16;2,90E+07;;;;0,0431028;;;
cg01644112;C14orf68;7,90199;0,1740125;14;1,01E+08;NM_207117;Body;Island;0,0496207;;;
cg01645874;;-9,38454;-0,1678095;13;2,07E+07;;;N_Shelf;0,044903;;;
cg01645995;HEPACAM2;-1,94786;-0,0721975;7;9,28E+07;"NM_198151;NM_001039372";"Body;Body";;0,0382745;;;
cg01647308;HDAC4;1,63831;0,0241075;2;2,40E+08;NM_006037;5'UTR;;0,0382745;;;
cg01648376;RALYL;-5,58428;-0,1788045;8;8,57E+07;"NM_001100393;NM_001100392;NM_001100391;NM_173848";"Body;Body;Body;Body";;0,0497478;;;
cg01649456;GPR132;-6,85891;-0,1238475;14;1,06E+08;NM_013345;Body;;0,0469862;;;
cg01649597;NMUR1;-2,49241;-0,098828;2;2,32E+08;NM_006056;Body;Island;0,0397357;;;
cg01649960;TAC3;2,18562;0,061413;12;5,74E+07;NM_013251;TSS1500;;0,0456669;;;
cg01651710;C8ORFK29;7,63659;0,1603305;8;1,46E+08;NR_015428;Body;N_Shore;0,0428365;;;
cg01651715;;2,25062;0,0863935;11;2,00E+06;;;S_Shore;0,0460639;;;
cg01652476;HEATR2;2,39588;0,093157;7;809048;NM_017802;Body;S_Shore;0,0382745;;;
cg01653005;PIK3R5;3,53713;0,1029305;17;8,87E+06;NM_001142633;TSS200;Island;0,0383741;;;
cg01653532;YPEL2;12,7025;0,2232505;17;5,74E+07;NM_001005404;Body;;0,042183;;;
cg01655548;DNAH17;4,30164;0,156154;17;7,64E+07;NM_173628;Body;Island;0,0382745;;;
cg01656853;FUT2;-10,1215;-0,225438;19;4,92E+07;"NM_001097638;NM_000511";"TSS200;TSS200";N_Shore;0,0415814;;;
cg01657005;LOC388946;2,99307;0,093032;2;4,67E+07;NM_001145051;Body;S_Shore;0,0400885;;;
cg01657556;FLJ37307;3,49434;0,133366;13;5,24E+07;"NR_027048;NR_027047";"TSS200;TSS200";;0,0398619;;;
cg01658670;YPEL2;-11,6296;-0,0854486;17;5,74E+07;NM_001005404;TSS200;Island;0,0449247;;;
cg01659586;IQSEC1;3,03027;0,0925315;3;1,31E+07;NM_001134382;Body;N_Shore;0,0393963;;;
cg01662504;AGAP1;1,26612;0,013472;2;2,37E+08;"NM_014914;NM_001037131";"Body;Body";;0,0403067;;;
cg01663469;C3orf15;20,6244;0,2774115;3;1,19E+08;NM_033364;TSS1500;N_Shore;0,0380468;;;
cg01663677;;-2,95039;-0,112231;7;1,34E+08;;;;0,0421455;;;
cg01664094;SIN3A;6,6876;0,1049678;15;7,57E+07;NM_001145357;TSS1500;S_Shore;0,0422295;;;
cg01665243;PLEKHG5;3,4445;0,1333875;1;6,55E+06;"NM_020631;NM_001042665;NM_198681;NM_001042664;NM_001042663";"5'UTR;TSS1500;Body;5'UTR;Body";S_Shore;0,0466198;;;
cg01665823;HIST1H2BE;-2,66398;-0,1046105;6;2,62E+07;NM_003523;TSS200;N_Shore;0,0410493;;;
cg01666244;ANKRD10;2,45974;0,03861035;13;1,12E+08;NM_017664;TSS1500;Island;0,0444907;;;
cg01667575;SDK1;3,95962;0,1375565;7;4,18E+06;"NR_027816;NM_152744";"Body;Body";;0,0497298;;;
cg01667837;GPR37;7,33111;0,1230515;7;1,24E+08;"NM_005302;NM_005302";"1stExon;5'UTR";Island;0,0495637;;;
cg01668281;CLDN14;-3,1303;-0,122939;21;3,79E+07;"NM_001146077;NM_001146078";"5'UTR;TSS1500";;0,0401629;;;
cg01669161;;8,55282;0,224852;7;1,63E+06;;;;0,0421937;;;
cg01669948;KCNK16;7,58973;0,1354085;6;3,93E+07;"NM_001135106;NM_001135107;NM_032115;NM_001135105";"TSS1500;TSS1500;TSS1500;TSS1500";;0,0421247;;;
cg01670608;CLPS;-2,69166;-0,083053;6;3,58E+07;"NM_001832;NM_001832";"5'UTR;1stExon";;0,0479977;;;
cg01671895;PGR;2,76299;0,092024;11;1,01E+08;NM_000926;Body;N_Shore;0,04722;;;
cg01672886;SRPRB;1,83297;0,01580845;3;1,34E+08;NM_021203;Body;Island;0,0411625;;;
cg01673284;HMOX2;4,69269;0,1643585;16;4,53E+06;"NM_002134;NM_001127206;NM_001127204";"5'UTR;5'UTR;5'UTR";S_Shore;0,04824;;;
cg01673783;SUSD2;6,26164;0,1841795;22;2,46E+07;NM_019601;Body;N_Shore;0,0401148;;;
cg01674130;FHDC1;6,30973;0,19189;4;1,54E+08;NM_033393;Body;N_Shore;0,0398626;;;
cg01674274;FAM195A;3,10723;0,1055195;16;692585;NM_138418;Body;Island;0,0459393;;;
cg01675104;;-5,36956;-0,124849;16;8,92E+07;;;;0,0459881;;;
cg01675158;CCDC85C;27,1088;0,338741;14;1,00E+08;NM_001144995;Body;;0,0422736;;;
cg01675596;;3,18328;0,1242005;8;1,46E+08;;;Island;0,0382745;;;
cg01675953;MCF2L;4,24881;0,141431;13;1,14E+08;"NM_001112732;NM_024979";"Body;Body";N_Shelf;0,0410366;;;
cg01676467;DUOX2;-1,97116;-0,067122;15;4,54E+07;NM_014080;Body;;0,0474784;;;
cg01676844;SPSB3;2,73697;0,0234175;16;1,83E+06;NM_080861;Body;S_Shore;0,0444193;;;
cg01677561;PDLIM2;5,46796;0,1594465;8;2,24E+07;"NM_021630;NM_198042;NM_176871;NM_021630";"1stExon;TSS1500;TSS1500;5'UTR";Island;0,0489455;;;
cg01677623;ARHGAP22;1,80385;0,042213;10;4,97E+07;NM_021226;Body;Island;0,0382745;;;
cg01678313;IQSEC1;6,11161;0,1523;3;1,31E+07;NM_001134382;Body;;0,0419772;;;
cg01679328;;1,81834;0,060821;11;1,16E+08;;;S_Shore;0,0458973;;;
cg01680245;;4,04116;0,145677;X;6,48E+07;;;N_Shore;0,039216;;;
cg01680573;LOC729991-MEF2B;6,25798;0,1918245;19;1,93E+07;"NR_027308;NM_001145785;NR_027307;NM_005919";"Body;Body;Body;Body";Island;0,0393841;;;
cg01680844;CCDC78;8,5258;0,2283355;16;776501;"NM_001031737;NM_032304;NM_207112";"TSS200;TSS1500;TSS1500";N_Shore;0,0432292;;;
cg01682021;LOC441046;40,1845;0,289681;4;1,44E+08;NR_003675;TSS1500;N_Shore;0,0382745;;;
cg01682455;CHST1;4,95387;0,1169035;11;4,57E+07;NM_003654;5'UTR;S_Shore;0,0404324;;;
cg01683215;TTLL8;8,73269;0,140579;22;5,05E+07;NM_001080447;Body;Island;0,0419999;;;
cg01683505;DISP2;2,7072;0,057816;15;4,07E+07;NM_033510;TSS200;Island;0,0474017;;;
cg01683756;C6orf163;3,80439;0,1406875;6;8,81E+07;NM_001010868;TSS1500;;0,0437997;;;
cg01684824;;5,79602;0,0866295;20;4,44E+07;;;N_Shore;0,0385108;;;
cg01687864;ING3;-6,59276;-0,1475095;7;1,21E+08;"NM_198267;NM_019071";"Body;Body";S_Shore;0,0409296;;;
cg01689159;KCNQ1;2,87826;0,1142575;11;2,82E+06;"NM_000218;NM_181798";"Body;Body";Island;0,0448901;;;
cg01689239;;-3,33459;-0,124386;12;4,86E+07;;;Island;0,0405976;;;
cg01689311;SFRP4;-8,56755;-0,1943675;7;3,80E+07;NM_003014;TSS1500;S_Shore;0,040279;;;
cg01689532;PTPN5;1,23627;0,02178;11;1,88E+07;"NM_006906;NM_001039970;NM_032781";"5'UTR;5'UTR;5'UTR";Island;0,041302;;;
cg01689964;TBC1D24;-1,44349;-0,0146586;16;2,55E+06;NM_020705;3'UTR;S_Shore;0,0399885;;;
cg01690182;GABRB3;4,34786;0,1189925;15;2,70E+07;"NM_021912;NM_000814;NM_021912";"5'UTR;TSS1500;1stExon";Island;0,0382745;;;
cg01690792;;188,157;0,512921;3;8,70E+07;;;S_Shelf;0,0419191;;;
cg01691768;STMN2;2,87617;0,092641;8;8,05E+07;NM_007029;Body;Island;0,0422328;;;
cg01691856;;-4,80708;-0,1632735;15;9,32E+07;;;;0,0405299;;;
cg01692088;;1,79938;0,0636925;1;2,48E+06;;;N_Shore;0,0422328;;;
cg01692233;;3,44461;0,080348;18;7,67E+07;;;Island;0,0478765;;;
cg01693026;DIO3;10,3456;0,189612;14;1,02E+08;"NM_001362;NR_031649";"TSS1500;TSS200";Island;0,0406594;;;
cg01693423;;-14,2872;-0,219278;13;4,37E+07;;;;0,0436491;;;
cg01693662;COL11A2;1,64896;0,033808;6;3,31E+07;"NM_080679;NM_080681;NM_080680";"Body;Body;Body";;0,0425359;;;
cg01694818;PLEKHM1;1,60729;0,01350835;17;4,36E+07;"NM_014798;NR_027774;NR_027782";"5'UTR;Body;Body";Island;0,0488536;;;
cg01695225;EMX1;5,94535;0,1743025;2;7,32E+07;NM_004097;Body;S_Shore;0,0391234;;;
cg01695672;ZNF311;3,95617;0,0939725;6;2,90E+07;NM_001010877;Body;;0,0408631;;;
cg01696784;SH3BP4;4,49184;0,1616505;2;2,36E+08;NM_014521;5'UTR;;0,0382745;;;
cg01697623;SLCO4A1;2,25606;0,0539455;20;6,13E+07;NM_016354;5'UTR;N_Shore;0,0433727;;;
cg01697986;;5,81085;0,1113865;1;1,81E+08;;;Island;0,0382745;;;
cg01698632;C11orf95;-2,04522;-0,0432325;11;6,35E+07;NM_001144936;3'UTR;N_Shore;0,0481078;;;
cg01699693;OR8D1;-5,38774;-0,1383775;11;1,24E+08;NM_001002917;TSS1500;;0,0490404;;;
cg01700462;C20orf123;3,61056;0,124084;20;4,52E+07;NM_080721;TSS200;;0,0444379;;;
cg01701055;COL11A2;-4,14203;-0,1527255;6;3,31E+07;"NM_080679;NM_080681;NM_080680";"Body;Body;Body";S_Shelf;0,0469093;;;
cg01701415;NUDT13;-1,78044;-0,058636;10;7,49E+07;"NM_015901;NM_015901";"5'UTR;1stExon";;0,0382745;;;
cg01701585;PGP;2,58357;0,064429;16;2,26E+06;NM_001042371;Body;Island;0,0408631;;;
cg01702501;RGMA;4,40433;0,106905;15;9,36E+07;"NM_020211;NM_001166287";"Body;5'UTR";N_Shore;0,0403813;;;
cg01703884;MYO1H;2,06008;0,0368135;12;1,10E+08;NM_001101421;Body;;0,0499488;;;
cg01703966;;2,02341;0,06536;7;1,43E+08;;;N_Shore;0,0391234;;;
cg01704105;HBA1;-3,07111;-0,1052;16;225666;NM_000558;TSS1500;N_Shore;0,0467677;;;
cg01704924;HOXC4;8,20654;0,17435;12;5,44E+07;"NM_014620;NM_153633";"5'UTR;TSS1500";N_Shore;0,0395738;;;
cg01704957;YBX2;-3,43478;-0,128045;17;7,20E+06;NM_015982;TSS1500;Island;0,0382745;;;
cg01705495;;13,4364;0,2726025;12;1,32E+08;;;N_Shore;0,0407016;;;
cg01705587;SV2A;5,71959;0,0877457;1;1,50E+08;"NM_014849;NM_014849";"5'UTR;1stExon";;0,0421723;;;
cg01705989;GALNT9;-3,02873;-0,1185135;12;1,33E+08;NM_001122636;Body;Island;0,0418611;;;
cg01707818;CLVS2;-6,25115;-0,192197;6;1,23E+08;NM_001010852;TSS1500;Island;0,0394157;;;
cg01708411;NDUFA4L2;17,8763;0,202076;12;5,76E+07;NM_020142;5'UTR;N_Shore;0,0463055;;;
cg01708552;C7orf52;-1,97236;-0,071878;7;1,01E+08;NM_198571;Body;Island;0,0409077;;;
cg01708636;CPE;-4,55219;-0,1065825;4;1,66E+08;NM_001873;Body;S_Shore;0,0475013;;;
cg01708648;PLCB3;2,01519;0,0346825;11;6,40E+07;NM_000932;Body;N_Shelf;0,0468961;;;
cg01709677;;-4,19089;-0,151824;2;6,42E+06;;;;0,0395738;;;
cg01710147;PFKFB2;13,4583;0,2745385;1;2,07E+08;"NM_001018053;NM_006212";"Body;Body";;0,0406387;;;
cg01710351;SLAMF1;-11,9024;-0,20781;1;1,61E+08;NM_003037;TSS200;;0,0382745;;;
cg01710852;SMAD3;4,89398;0,1494635;15;6,75E+07;"NM_005902;NM_001145103;NM_001145104;NM_001145102";"Body;Body;TSS1500;Body";;0,0410914;;;
cg01711077;AGRN;5,51037;0,155762;1;981222;NM_198576;Body;Island;0,040279;;;
cg01712671;RUFY4;-3,38067;-0,1297825;2;2,19E+08;NM_198483;Body;;0,0382745;;;
cg01713272;;2,24117;0,084178;18;1,29E+07;;;Island;0,0499294;;;
cg01714172;C16orf81;4,388;0,125498;16;8,92E+07;NR_024347;Body;Island;0,0482325;;;
cg01714383;JPH3;4,78272;0,103944;16;8,77E+07;NM_020655;Body;S_Shore;0,0382745;;;
cg01714921;;1,64209;0,0532655;1;1,99E+08;;;;0,0480076;;;
cg01714932;PZP;-2,23786;-0,0646105;12;9,36E+06;NM_002864;1stExon;;0,0462273;;;
cg01715088;ESPN;7,50689;0,2039775;1;6,52E+06;NM_031475;3'UTR;Island;0,0491139;;;
cg01715538;;2,70505;0,107605;6;1,70E+08;;;;0,0491303;;;
cg01715699;STK24;3,34954;0,061393;13;9,92E+07;NM_001032296;Body;;0,0475532;;;
cg01716223;VPS36;26,4654;0,244212;13;5,30E+07;NM_016075;Body;N_Shore;0,0382745;;;
cg01716499;TNXB;-5,74321;-0,187442;6;3,20E+07;"NM_032470;NM_019105";"Body;Body";;0,0408184;;;
cg01716603;LASP1;4,21353;0,1352325;17;3,70E+07;NM_006148;Body;S_Shelf;0,043711;;;
cg01716827;KIF26A;1,81088;0,061627;14;1,05E+08;NM_015656;Body;N_Shore;0,0429004;;;
cg01717150;KCNK9;-7,66075;-0,217436;8;1,41E+08;NM_016601;TSS1500;Island;0,0382745;;;
cg01717164;CCDC73;-8,42904;-0,2206145;11;3,28E+07;NM_001008391;TSS200;;0,0391234;;;
cg01717376;TTLL4;-1,6416;-0,0463875;2;2,20E+08;NM_014640;TSS1500;N_Shore;0,0406624;;;
cg01717524;;1,44525;0,034867;1;1,20E+08;;;;0,0385108;;;
cg01717609;TRIM17;8,8541;0,1466495;1;2,29E+08;"NM_016102;NM_001024941;NM_001134855;NM_001024940";"TSS1500;TSS1500;TSS1500;TSS1500";S_Shore;0,0382745;;;
cg01717649;;3,05916;0,1207535;11;6,68E+07;;;N_Shelf;0,0431825;;;
cg01718322;;-6,83303;-0,152738;14;9,63E+07;;;Island;0,0435889;;;
cg01718580;RAET1G;6,45952;0,1570175;6;1,50E+08;NM_001001788;Body;N_Shore;0,0467999;;;
cg01718602;DACH2;6,25282;0,1922085;X;8,54E+07;"NM_001139514;NM_053281";"1stExon;1stExon";S_Shore;0,0488536;;;
cg01718646;ZBTB46;2,54498;0,0871215;20;6,24E+07;NM_025224;Body;;0,0452646;;;
cg01719100;;7,17381;0,1241505;1;9,26E+06;;;N_Shelf;0,0409521;;;
cg01719904;;8,46585;0,2036115;3;2,64E+07;;;;0,0399885;;;
cg01720455;EVX2;11,33;0,187147;2;1,77E+08;NM_001080458;1stExon;Island;0,0467213;;;
cg01721255;C8orf71;-17,7031;-0,2745275;8;5,82E+07;NR_026772;TSS1500;N_Shore;0,0394993;;;
cg01721569;;-6,47797;-0,183245;2;6,68E+07;;;S_Shore;0,0412218;;;
cg01721754;NHLRC4;10,2873;0,2281385;16;616935;NM_176677;TSS200;S_Shore;0,0391234;;;
cg01722566;;2,73342;0,100525;16;8,50E+07;;;;0,0465178;;;
cg01723706;LOC285419;6,09621;0,1470565;4;1,25E+08;NR_027105;Body;;0,0446011;;;
cg01725872;C22orf9;-3,01603;-0,074608;22;4,56E+07;NM_001009880;Body;N_Shore;0,0441759;;;
cg01726073;CACNA1I;4,39361;0,154366;22;4,00E+07;"NM_021096;NM_001003406";"TSS1500;TSS1500";;0,0424192;;;
cg01726103;FAM65B;-4,00993;-0,1322235;6;2,49E+07;NM_014722;TSS1500;S_Shore;0,0398626;;;
cg01727419;SH3PXD2A;27,9117;0,2865305;10;1,06E+08;NM_014631;TSS1500;S_Shore;0,040196;;;
cg01727431;SAMD11;6,77279;0,1975265;1;871057;NM_152486;Body;Island;0,0465272;;;
cg01727686;NUDT22;2,8544;0,046971;11;6,40E+07;"NM_001128613;NM_032344;NM_001128612;NM_005528";"Body;Body;Body;TSS1500";N_Shore;0,0427814;;;
cg01727969;;61,1368;0,4109545;7;1,56E+08;;;;0,0382745;;;
cg01729020;SAMD4A;14,655;0,2224665;14;5,50E+07;"NM_001161576;NM_015589";"Body;Body";S_Shore;0,0409019;;;
cg01730064;ARID4B;24,7732;0,2822265;1;2,35E+08;"NM_031371;NM_016374";"Body;Body";;0,0440139;;;
cg01731341;FGF6;-3,63963;-0,139229;12;4,55E+06;NM_020996;Body;N_Shore;0,0450047;;;
cg01731685;IL17RA;6,74872;0,143493;22;1,76E+07;NM_014339;TSS1500;N_Shore;0,0410861;;;
cg01732415;MFF;2,66477;0,04283875;2;2,28E+08;NM_020194;TSS1500;S_Shore;0,0450502;;;
cg01732449;;14,9995;0,2174825;2;1,96E+07;;;S_Shore;0,0382745;;;
cg01732469;;-5,71863;-0,145192;7;7,28E+07;;;N_Shelf;0,0483663;;;
cg01733570;DFNA5;12,1455;0,219178;7;2,48E+07;"NM_001127453;NM_001127454;NM_004403";"TSS1500;TSS200;TSS200";S_Shore;0,0382745;;;
cg01733904;;2,44931;0,0811515;13;1,10E+08;;;;0,0391234;;;
cg01735357;HAR1B;3,53392;0,118165;20;6,17E+07;"NR_003245;NR_003244";"Body;TSS200";N_Shore;0,0481196;;;
cg01736356;01-Mar;4,75888;0,161455;4;1,64E+08;"NM_001166373;NM_017923";"Body;Body";;0,0400885;;;
cg01738202;SLC6A16;-7,64631;-0,1960745;19;4,98E+07;"NM_014037;NM_014037";"1stExon;5'UTR";N_Shore;0,0403305;;;
cg01738522;;7,04435;0,1909985;4;8,69E+06;;;Island;0,0413124;;;
cg01738805;MTMR15;2,83938;0,1125965;15;3,12E+07;"NM_001146094;NM_001146095;NM_014967;NM_001146096";"TSS1500;TSS1500;TSS1500;TSS1500";Island;0,0461995;;;
cg01739167;CHRNE;1,39598;0,0184985;17;4,81E+06;NM_000080;1stExon;S_Shore;0,0469862;;;
cg01740146;;7,31603;0,2011015;8;2,36E+07;;;Island;0,041146;;;
cg01741688;SH3RF3;10,7424;0,2504755;2;1,10E+08;NM_001099289;Body;;0,0382745;;;
cg01741932;PHC2;8,17887;0,2028595;1;3,38E+07;"NM_004427;NM_198040";"TSS1500;Body";Island;0,0382745;;;
cg01742428;FAM26F;1,61726;0,018728;6;1,17E+08;NM_001010919;TSS200;N_Shore;0,0442258;;;
cg01743235;LYG2;2,22469;0,056374;2;9,99E+07;NM_175735;3'UTR;;0,0399885;;;
cg01745370;GCC2;2,25697;0,054115;2;1,09E+08;"NR_028063;NM_181453";"TSS1500;TSS1500";N_Shore;0,0446011;;;
cg01745420;TMEM123;11,1017;0,209405;11;1,02E+08;NM_052932;TSS1500;S_Shore;0,0399636;;;
cg01745437;;-72,2494;-0,425557;14;4,52E+07;;;;0,0382745;;;
cg01746514;LRRC16B;1,95499;0,0621865;14;2,45E+07;NM_138360;TSS1500;N_Shore;0,046965;;;
cg01746550;;-15,9726;-0,1888255;2;6,05E+07;;;;0,0470716;;;
cg01747978;;7,56613;0,197248;7;9,95E+07;;;;0,0464051;;;
cg01748082;FCN2;2,43054;0,087614;9;1,38E+08;"NM_004108;NM_015837";"TSS200;TSS200";;0,0386946;;;
cg01750716;SGCZ;16,6362;0,2787955;8;1,47E+07;NM_139167;Body;;0,0453537;;;
cg01750764;OBSCN;4,74188;0,142268;1;2,29E+08;"NM_052843;NM_001098623";"Body;Body";N_Shore;0,0413469;;;
cg01750783;ZFPM1;1,41555;0,0189835;16;8,86E+07;NM_153813;Body;S_Shore;0,0382745;;;
cg01751605;PTN;-6,30748;-0,1735455;7;1,37E+08;NM_002825;TSS200;;0,047675;;;
cg01751802;KANK2;9,63672;0,230725;19;1,13E+07;NM_001136191;TSS1500;S_Shore;0,0403813;;;
cg01751892;KRT2;3,53945;0,135051;12;5,30E+07;NM_000423;3'UTR;;0,0400103;;;
cg01753209;NCRNA00111;13,6746;0,207649;21;4,31E+07;NR_024367;TSS1500;;0,0403116;;;
cg01753359;ZNF572;8,18076;0,223241;8;1,26E+08;NM_152412;TSS200;;0,0471782;;;
cg01753375;DCTN1;8,62005;0,1195734;2;7,46E+07;"NM_004082;NM_001135040";"TSS200;TSS200";;0,0419911;;;
cg01753595;COL5A1;2,86807;0,050496;9;1,38E+08;NM_000093;TSS1500;N_Shore;0,0473147;;;
cg01753648;;-5,11473;-0,1270705;16;3,07E+07;;;;0,0382745;;;
cg01753731;GAK;1,38315;0,009879;4;903032;NM_005255;Body;S_Shelf;0,0467219;;;
cg01754041;SAA3P;-4,474;-0,1061835;11;1,81E+07;NR_026576;Body;;0,0469974;;;
cg01755009;OR14A16;-10,8383;-0,250533;1;2,48E+08;NM_001001966;1stExon;;0,0394157;;;
cg01755628;DHRS1;13,8514;0,2193275;14;2,48E+07;"NM_001136050;NM_174913;NM_138452;NM_138452";"5'UTR;TSS1500;1stExon;5'UTR";Island;0,0462533;;;
cg01756421;NRN1L;13,0393;0,1125875;16;6,79E+07;NM_198443;TSS1500;N_Shore;0,0433619;;;
cg01756756;C19orf12;8,56549;0,2111835;19;3,02E+07;"NM_031448;NM_001031726";"TSS1500;TSS1500";S_Shore;0,0444804;;;
cg01758041;COPS6;3,94135;0,0865175;7;9,97E+07;NM_006833;TSS1500;N_Shore;0,0394993;;;
cg01758314;ALOX12P2;-1,48571;-0,0279645;17;6,80E+06;NR_002710;Body;N_Shore;0,0389981;;;
cg01758418;SLC7A3;13,8981;0,277948;X;7,02E+07;"NM_032803;NM_001048164";"TSS1500;TSS1500";S_Shore;0,0454039;;;
cg01758494;;-2,09698;-0,0765445;17;4,80E+07;;;N_Shelf;0,0492539;;;
cg01758799;BRSK2;3,20703;0,120525;11;1,45E+06;NM_003957;Body;;0,0410493;;;
cg01758942;STAB1;1,90616;0,0339065;3;5,26E+07;NM_015136;Body;N_Shore;0,0470936;;;
cg01759155;AMN;8,96683;0,1809585;14;1,03E+08;NM_030943;TSS200;N_Shore;0,0408973;;;
cg01759909;;23,2274;0,317871;17;7,63E+07;;;;0,0426001;;;
cg01760090;;-6,51431;-0,1577095;8;1,37E+06;;;S_Shore;0,0456153;;;
cg01760475;;-1,62175;-0,0524305;8;1,45E+08;;;Island;0,0454553;;;
cg01763051;ULBP1;2,8977;0,111925;6;1,50E+08;NM_025218;Body;Island;0,0435546;;;
cg01763173;GAD1;10,5948;0,1951075;2;1,72E+08;"NM_000817;NM_013445";"5'UTR;5'UTR";Island;0,0382745;;;
cg01763692;;6,93144;0,2020075;4;1,28E+08;;;;0,0464413;;;
cg01763749;P2RX6;-9,07684;-0,232977;22;2,14E+07;"NM_005446;NM_001159554;NR_003608";"TSS1500;TSS1500;Body";Island;0,0419875;;;
cg01764198;;-23,2107;-0,325473;6;1,38E+06;;;Island;0,0382745;;;
cg01765529;CD164L2;2,29324;0,02490475;1;2,77E+07;NM_207397;TSS200;S_Shore;0,0451698;;;
cg01767270;;-7,5733;-0,1311095;2;1,21E+08;;;;0,0469862;;;
cg01767396;ATP8A2;-2,10271;-0,048922;13;2,60E+07;NM_016529;Body;;0,0469093;;;
cg01767544;;-3,68864;-0,1371625;14;1,06E+08;;;N_Shore;0,0434431;;;
cg01767862;SNORD114-28;1,93028;0,0695225;14;1,01E+08;NR_003221;TSS1500;;0,0456438;;;
cg01768179;ARL4A;1,87064;0,0258461;7;1,27E+07;"NM_001037164;NM_005738;NM_005738;NM_212460";"5'UTR;5'UTR;1stExon;5'UTR";Island;0,0443403;;;
cg01768686;SPNS3;1,85116;0,065229;17;4,34E+06;NM_182538;TSS200;;0,0417769;;;
cg01768814;PITPNC1;7,2813;0,166165;17;6,54E+07;"NM_181671;NM_012417";"Body;Body";;0,0398619;;;
cg01769468;CLCA2;10,2624;0,2473725;1;8,69E+07;NM_006536;TSS1500;;0,0461128;;;
cg01770296;MIA3;13,0402;0,1530235;1;2,23E+08;NM_198551;Body;S_Shore;0,0382745;;;
cg01771416;NFKBIZ;15,7841;0,2904185;3;1,02E+08;"NM_001005474;NM_031419";"5'UTR;TSS1500";N_Shore;0,0394157;;;
cg01771876;LPIN1;7,24578;0,06905965;2;1,19E+07;NM_145693;TSS200;Island;0,0410366;;;
cg01771885;ADRM1;3,5905;0,1338055;20;6,09E+07;"NM_007002;NM_175573";"Body;Body";Island;0,0480681;;;
cg01774645;ARHGAP30;6,24568;0,1585385;1;1,61E+08;"NM_181720;NM_001025598";"TSS1500;TSS1500";;0,0419875;;;
cg01775245;MCPH1;26,2843;0,340227;8;6,45E+06;NM_024596;Body;;0,0391234;;;
cg01775921;TRIM15;1,67875;0,0321795;6;3,01E+07;NM_033229;Body;N_Shore;0,0407016;;;
cg01776045;TG;5,58767;0,1514255;8;1,34E+08;NM_003235;1stExon;;0,0434877;;;
cg01776229;POU3F4;4,1316;0,1280465;X;8,28E+07;NM_000307;1stExon;Island;0,0391234;;;
cg01777228;HAP1;-3,25061;-0,095703;17;3,99E+07;"NM_001079870;NM_177977;NM_001079871";"1stExon;1stExon;1stExon";Island;0,0442354;;;
cg01777300;;5,51401;0,172073;14;1,05E+08;;;;0,0424703;;;
cg01777913;PHB2;2,64386;0,089063;12;7,08E+06;"NM_007273;NR_003010;NM_001144831";"Body;TSS1500;Body";N_Shelf;0,0407277;;;
cg01778589;DLX6AS;2,67985;0,1045265;7;9,66E+07;NR_015448;Body;N_Shore;0,0463256;;;
cg01778864;KIAA1324;2,11956;0,072563;1;1,10E+08;NM_020775;Body;;0,0304048;;;
cg01778926;WNT1;7,53558;0,186924;12;4,94E+07;NM_005430;TSS1500;N_Shore;0,0434877;;;
